,posts,vader_sentiment
253,important note might insuffient test kits test everyone isolation first right thing understand everyone keep coming analyse also analysis wrote others,-0.2263
254,seems forum members interested cheering bad news perhaps not unexpected given number slimey multiple account holders spamming usual not even well hidden axe grinding anti establishment agenda many unfortunate given close proximity locked big headline numbers scaring anybody useless fb brethren people acting like end world insinuations vast community spread completely illogical anyone brain process information look trendlines icu deaths escalating proportion no tell anyone stupid forum highlight trendlines icu deaths no forum another fox news spastic collection paid posters without pretence objectivity intelligence know numbers come cb works come back last laugh meantime continue collecting 50 cents per post guys circuit breaker working miw won need extend another month buddy miw good perfect said won crisis government always steps behind data lie no insinuation vast community spread suspicion moh approach regard not live non community drew suspicion trying play numbers make look like community spread low vs linked within community withholding information public annex already deprived many crucial information specific abruptly stopped 19th april no one independently track collate anymore argue moh got interactive shows got go try moment go page freeze hang no cluster map link clusters show full extend spread admit miw screwed response big time unwilling admit,-0.9468
255,going tough many not named clusters extremely challenging task aggressive testing sick not way,-0.5818
256,know said not criticism since think anything else differently think see news moved expo cruise ship hdb parking lots doubt large capacity majority still live packed ones narrow small rate month would 50k 95,-0.0243
257,sinkie good pay abnn staycation cruises,0.3612
258,wear masks home logic happens family member gets infected form outside brings home everyone gets see wearing masks public helps no point debating imagine dozens medical experts advising medical literature written cant see masks help prevention spreading japan suppressed numbers wanted olympics held never tested announcement postponement guess happened postponed numbers shot,-0.7057
259,120 still low relax not like 1000 per day sent mi max 3 using,-0.0798
260,not sure agree honestly worry opposite local not high density foreigners living much confident successful containment,-0.1159
261,tekong no intake transport put saf custody sent lya l29 using gagtto honest not bad idea comfortable bunks least,0.7613
262,forum let operators face music applaud mr cheng shoong tat letter foot bill operators profited years may 16 correct question taxpayers should foot bill clear mess operators profited singapore always taken pride beacon global free enterprise frequently reminded prosperity based system open business argued system works not mollycoddle people amid realities free market social assistance programmes based helping people help help people retrain reskill lose jobs rather support financially not working should society takes pride not sheltering people realities free market system find acceptable shelter large corporations reality free market system allows succeed minimal government interference time fail operators not innovative start ups coming market disrupting products shape future not enterprises hire many singaporeans high paying jobs make vast profits centurion corp example made 103 8 million revenue 133 million 12 months ended dec 31 last year merely maximising number people certain space system allows earn profits manner should not also allow bear cost system requires adapt businesses new realities tang li 1 0 2 source code contribute,0.9872
263,keep finding excuses fact mask issue wrongly handled like ask edit point stop apologist say hey could prevented,0.1027
264,saying want protect view didn say anything effect certainly agree view,0.7783
265,high bay song lower bay kan guang really also wrong lolibs know transparency no wonder 154th become 158th,-0.7769
266,get would vote opp sitoh good said like mp improving qol area like said wouldn want mp think voting oppositions parliament undermining good mps parties good idea,0.9432
267,important know orchard ang mo kio heavily hit people really want know accommodations hdbs condos local pr vs wp one way estimate wp still broad includes expats service forth not racism xenophobia people want know happening cb look like extended eventually relax cb targeting measures aimed construction sites workplaces using,0.9284
268,exponential growth important stop pandemics early stages sub 100 case months suddenly increases hundreds daily thousands also sad no way quarantine effectively almost like bmt bunks basic bed maximised capacity bmt suspended recruits asked stay home no home return,-0.5095
269,no source want pofma guigot source say wait better sourcewei qiang u release insider info zaobao u want notice chiu,0.3182
270,give free wifi thank ltrya give free wifi,0.8442
271,malaysia records lowest number new 2 weeksquote kuala lumpur malaysia thursday apr 9 reported 109 new lowest two weeks bringing total tally 4 228,-0.5994
272,hindsight ass lol brewing open long period time huge oversight mom didn identify enormous labour health risk took chances lost imo no pofma diamond princess moment,-0.2023
273,biggest worry another riot seeing possibility infected likely may point significant number death feel getting lower tier care government get frustrated seeing companions dying wonder government ready manage potential riot potential infected pool,-0.9595
274,pap tribes,0.0
275,cheapest solution keep 20k men happy setup _____ donation booth,0.7184
276,agree nothing race result incompetent government guess zaobao writer ib tried deflect responsibility government bad ended goal true really stupid ib should know pap order blame always sinkies first foreigner govt last,-0.4096
277,could attack parts like brain heart dun think attack lung could mutated version attack fast,-0.7783
278,akan datang explode new got meetup maids gfposted pcwx using sm g973f,0.0
279,singapore government trading like commodity using financial incentives 0 not sure misread actually good thing permitting change job restriction precovid prevent coming find another job need redistribute locally industry excess shortage wan jus anti government right argument gahmen allow work permit steal sinkie job,-0.3711
280,should house gedong help vehicles servicing dig mud sump,0.4019
281,bangla spread maid spread families anot bangla open abt relationshipsexpecting happen sooner later not big number see domestic showing list connected existing spread island,-0.0572
282,breaking 10th death reported source,-0.5994
283,expanding fast lor bump gdp mass importing also fatten wuhaned curve getting infected dishonourable son sia suay arsehole singapore hardwarezone forums app,-0.4939
284,tested positive use singapore money treat,0.743
285,genting course happy lahthe entire world no one dares go cruiseswonder much govt paying probably least 1k 14 day quarantineanyway dont know govt escape plando think escape plan groping dark,0.119
286,walau totally unexpected,0.0
287,ur fucking piece shit man,-0.5965
288,conditions should benchmarked least saf bunk conditions,0.0
289,health packs know called like hand sanitisers mask tooth brush etc tell say gov actions past weeks somehow justifies exploiting laborers decades current context subtly saying government should predicted infectious aggressive like would appear like should know message privately explain wrong blaming government,-0.0258
290,number seeing limited lab testing capacity 3 000 day hopefully scaled identify confirmed faster south korea similar size outbreak able test 20 000 day,0.2732
291,already 12 years half transparent data news panic ge coming even 2g helping dated mindset undo mistakes 10 years ago anyway 10 years ago many people know flaws employment pass ceca,-0.5574
292,simpler words yes testing total also spreading testing different places not place,0.4019
293,singapore daily go 1 000 fourth daynot far 15 000,0.0
294,yesterday annex c releases annex c summary singaporeans singapore permanent residents 4 may 2020 1 pdf shows 5 sc pr reported 3 appear linked healthcare facilities 1 may work 1 household contact previous case annex c c 3 may 2198e1504b2941adab7b12e779ee21fb pdf fom day shows 10 sc pr reported 2 worked 1 northpoint city cleaner 1 imh patient 3 household contacts previous 3 unknown first 2 days sc pr annexes new source information unfortunately seeing great number causing infections people supporting healthcare volunteers staff,0.765
295,becoming like wuhan already moh 12477696gan bo yong guy shld resign,0.0258
296,come test tiny subset nia,0.0
297,ccb not aggressive testing sg citizens,0.1139
298,know 5 6yrs didnt go back jhk weeks kpkb,0.0
299,lol harry good come let goondu son take screw,0.6486
300,wear mask going outside,0.0
301,jail minister not noticing problem,0.3089
302,believe 5000 testing smoke bomb 300k construction bangala 900k cleaner bangala easily 10 15 30 100k oredi infectedgov gamble using 14days isolation majority 10 15 oredi infected 30k 100k would self heal within isolation,-0.8271
303,pretty much,0.4939
304,world,0.0
305,upz wan bao notice,0.0
306,u think suspend bmt month free beds space,0.25
307,sorry grassroots 草根 mean u spit pee,-0.0772
308,well done taiwan got balls go useless tedros go go,-0.1779
309,should nt first thing gov shd since three mths ago back early feb mom even warned employers not send swab test employers send healthy hospitals test may get work pass privileges suspended warns mom,-0.0772
310,healthy dun need wear mask,0.4019
311,like go back anything happen msia point finger back us say ay thot u tested already come still got positive salah la knn cunning dogya cunning thanks pappy ft open leg policy kena ransom,0.8402
312,wahh knn give 100 per day pay sent 你是我的小啊小苹果儿怎么爱你都不嫌多红红的小脸儿温暖我的心窝点亮我生命的火火火火火火 using,-0.1027
313,jin satki man record breaker,0.0
314,totally unacceptable understand probably save cost not counted towards case numbers feels like tho downplaying manipulating numbers whatever rocks boat no faith gov 69 9 suspect coming ge 70,-0.1761
315,wo gy jo teo asked parliament monday may 4 whether government consider issuing apology singapore outbreak manpower minister josephine teo said none interacted demanded apology teo said based interactions feedback received instead ask present situation not fall sick ensure wages paid singapore community come focus outbreak 90 per cent country 18 205 concentrated amongst work permit holders eo responding question posed nominated member parliament nmp anthea ong government consider issuing apology given dismal conditions currently conditions conditions especially complete lockdown sake safety singaporeans responding ong teo replied not come across asking apology ms anthea ong asked apology interact closely regular basis even outside whenever ask teams know follow requests feedback think focused help handle present situation not fall sick fall sick help take care look wages paid ensure send money home things asked us not come across one single demanded apology use brain think dares doesn take genius know right near election period say kind insensitive remark come election year last round no need big space ex right,0.9483
316,hindsight shouldn sleeping parliament,0.0
317,kumgong gotch nose limits sent sm a307gn using,0.0
318,charge herd immunity means good control,0.4404
319,wow must really thanks jo teo taxpayers hard earned money well spent,0.8268
320,think pap need 1000 ministers population big handle already wages ministers billions dollars per year,0.0
321,feedback new customers positive khaw said forei rmitories central kitchens preparing meals fws mostly rice watery curry gravy vegetables maybe small piece meat estimate cost meal less 1 little nutritional value expect operators want make profit 250 per rental right thing provide nutritious tasty meals fws via sats neo catering etc hope government recover increased costs operators least rental period should go government rather operators,0.9128
322,lol nvm stop peace takes much effort help support fws think fws also want lol nvm nvm,0.9118
323,getting realistic total 40 50 community every day past 2 weeks mean locals prs ltvp work pass living outside consistency not point likelihood sharp drop soon fact lax control measures see numbers spike,-0.2732
324,govt says absorb means peasants pay,-0.1027
325,gan bo yong taichi master look taichi lw lol sian 1 2 look lw face epic,0.4215
326,wow heels,0.5859
327,eh 20k locked massive breeding ground maciam cruise ship not bad cos air circulation better ship sad living condition like jail,0.631
328,said,0.0
329,piak piak sir could infected bikers special thread quite hot,-0.128
330,lots abandoned schools house schools lots empty classrooms walled million dollar scholars think box know scold sinkies posted pcwx using dic stinks,-0.8176
331,silly coz not infected fk,0.4075
332,gui source trust,0.5106
333,lol issue singaporeans care dollars cents bread butter popular politicians,0.8316
334,servi default aspxthe bangla cluster alone may overwhelm ncid lockdown long time consperm,-0.4019
335,fake new,-0.4767
336,stopped reading fix not mah,-0.2263
337,think govt didn think considered somehow didn work using expo think incredible not consider mice venues given dropped ball open surprised,0.2263
338,opinion yes previously sunday always calm silent day case count reporting,0.6124
339,singapore expo prepared house patients recovered may still infectious gan kim yong,0.2263
340,companies followed regulations suddenly bill public service cost penalization also follow current sop set lapses occurred maintaining regulations changes come apply retro actively understand intentions emotions behind giving punitive punishments one cause factors consider especially rough economic times,-0.34
341,represent scale testing going not everyone test confirmed case means even though average confirmed one case per minute probably way negative,-0.5719
342,country unfortunate wasn stress enoughis like bad practice education persuasion won help urgent work sites not uncommon infected take breaks together share food utensils likewise infected different gathered rest days socialise shop example mustafa back spent time friends cooking eating relaxing together said teo,0.921
343,many total rest not kena one authority anything near house jurong west many 2 weeks ago saw bangla fainted not surprised go mustafa,-0.2235
344,means large community still infection not tested la since 90 test goes bangla knn no wonder daring extend 1 month cb first month not yet,0.25
345,wonder point government simply block access hospitals number sick becomes high,-0.7096
346,lesson learn dont say stupid things make stupid commentskumlan people,0.6759
347,know staying ncid,0.0
348,time really jia lat 20000,0.0
349,smell corruption,0.0
350,3000 upto 1k kerna like 33 high should expect 80k kerna math rest world testing n infected rate,-0.1779
351,_of _war _apology _statements _issued _by _japan,0.0
352,said not serious sars n not wear mask healthy blame aiyoh shroder everytime also look bright angle polish healthy dont need wear mask inviting go visit tourist locations support economy,0.2973
353,waiting 4 pofma,0.0
354,coming,0.0
355,link please,0.3182
356,think local today guy family members quite difficult link infected via malls really transmitted may take awhile figure,-0.7397
357,disruption much,-0.3612
358,see sinkie cannot praise one praise yaya papaya liaoz sent space using,-0.7048
359,really unfair also idiotic say first place know banglas got infection work hard day night jobs often ot earn bit travel buses mrt go malls hawker centres supermarkets etc thus also possible easily infected local people carrying agree since living quarters crowded problem compounded please thought plight please jump wrong conclusions without thinking well luckily sg world class health care foc pockets,-0.8581
360,should nt first thing gov shd since three mths ago took gamble today show fail,-0.5423
361,1998 yugioh primary school friends thing,0.4767
362,cb came substantial portion population lost jobs difficulties jobs govt gave payouts encouraged forms support might skew affected population favour pap,0.5859
363,reason classify confirmed indian nationals 31 3 dort related,0.0
364,should lockdown immediately hope tml got conference sent using gagti support complete lockdown control,0.6808
365,hah got april 14 update whatsapp noted slyly removed unlinked tag instead resorted using pending contact tracing 114 unlinked last used 4th april guess read us making fuss unlinked well spike number infected warranted change nomenclature pretty subtle didn notice till blame getting kind long tooth running control everyday see something new sometimes flip u turn word times change terminology occasionally complete denial obvious interesting times live though wish something else brought changes instead insidious disease no leh cna still reported 114 unlinked 12639766,0.765
366,believe might not also focus resources attention dom otherwise touch wood community spread not enough resources,0.0
367,1712 minister no sex no age minister disappear 2 days,-0.6486
368,better put cisco whatever guard place zzz,0.1779
369,200k testing 20k per day even works not take 10 days test everyone think least 10 days till see peak,0.0
370,logically scared get upset start another little india look numbers ancient china even cao cao army smaller,-0.6705
371,high bay song lower bay kan guang really also wrong lol,-0.3642
372,considered maybe no get first place everyone wearing mask work brought back no matter packing many small space shouldn happened first place,-0.5106
373,cut 12nn give preliminary number collation hospitals specifics nationality linked clusters etc later today,-0.2023
374,think sweden actively targeted vulnerable key difference suggesting adaptation sweden model,0.1027
375,no maids honest risk jobs duh seriously anyone keechew saying believe maid claim boyfriend weekend breaks,-0.1779
376,corona not main reason corona,0.0
377,someone knows media should ask media pose question numbers added,0.0
378,lulz 31 jan oredi got report asymptomatic case germany person,0.4588
379,day getting worse tmr 300 thy long ago know got amount time nicely,-0.0516
380,omg 287,0.0
381,quote risk transmission always believe statement,-0.2732
382,op said could one highest number definitely possibly true,0.7003
383,odds would actually rethink way treat,0.4019
384,fair point likely would no case would recover without need medical attention,0.0258
385,climbing wuhan league table,0.0
386,gold standard drop standard drop cnn fake news standard since interview,-0.743
387,say liaobetter convert field hospitali bet good 30 40 infected,-0.0772
388,ex csms ex rsms go maintain order,0.0
389,wah 3 digits time,0.0
390,yes definitely needed fair proportion populace fatigued lockdown sustained number low community transmissions simply no choice,0.3182
391,take no linkfound answer know give need hire contact tracers moh said not currently breakdown many new linked clusters unlinked related means 88 outside dorm88 huat sent using,-0.296
392,not wrong government opted economy first dragged long think cb should enforced earlier,0.33
393,need contact tracing see gf,0.0
394,simple mah situation demands attention could lead international incident especially india must please modi ceca masters old folks nobody standing cause left alone since nothing gained helping guess no longer considered productive past use dates hence not deserving attention,-0.5731
395,anchluss johor vote,0.0
396,actually might well end bbt less essential biz banned jogging tongue cheek ever caught without mask officer start run say jogging steadylabrudder,-0.1621
397,hope goodies taken away go back slum idiots must way brainwash won riot entitlements,0.4588
398,seems like case talk no action,0.0772
399,testing process uses pcr technology essentially copy pasting target sequence dna many times think billions easier detect read main shortcomings one sample takes hours process machine needs go many cycles heating cooling copy pasting still use one accurate tests think ever sacrifice accuracy speed two cents,0.4215
400,would someone invest money business generates 10 profit margin instead business generates 20 margin genuinely would invest sort savings plan gives less margin another savings plan else equal not answered questions enforced comes future constructions developments yes cost distributed across society would government enforce cost increase levies taxes against construction development companies create price freeze pegged against arbitrary historical figure top everything else multiple parties involved owners construction contractors property developers force owners absorb cost spacious lodgings prohibit passing part additional cost construction contractor either take money go somewhere else convert affluent clientele like students pass cost recruitment agents home countries singaporean jurisdiction charge sort cycle persist put costs contractors developers somehow companies able forced absorb costs not pass consumer p l numbers go making less attractive investors industry doesn grow without growth probably start cutting costs beginning poorer quality work retrenchment staff not allowed lay staff well,0.8939
401,rubbing shoulders,0.0
402,bro according chart seems like curve flattening sorry correct wrong sent sm n975f using gagtnot really need wait see figures next week one day drop doesn mean anything,-0.4588
403,post one lj source think defend saying teo chee hean lj source,0.0
404,jokecon black whitegrey,0.0
405,worrisome part stress medical facilities,-0.6705
406,well deserved cruise stay bangla heroes sinkies stay expo camp bunk,0.6597
407,1 037 new bringing singapore total 11 178,0.0
408,thank sharing experience nice perspective,0.7964
409,literally stated graphic maps main complaints problems came us pre days always need numbers point not numbers fact housing not even big issue first place good left numbers impact economy not graph much illustration demonstrate point no data come,-0.5719
410,break cock,-0.1531
411,according news report 120 found today linked clusters rest 88 link,0.0
412,280k construction according mom june 2019 data source kforce numbersstill long way go decide test,0.0
413,major collapse repercussions affect many industries tens thousands suddenly homeless employers left scrambling look new housing fine line gonna punish operators,-0.7003
414,actually cost spent little 200k basic 300 levy know much anot government earn 1 month 60 millions allow work carry no choice stop thats much earning per month,-0.3612
415,exploit,-0.1027
416,bangalas pay bills right charge em double,-0.1027
417,b4 ibs come ownself pcc ownself,0.0
418,not sure referring say u act like near u kind blemish not say infer asking poster take look fb comments article planning stage look bad comments personally no issue problem government going face not people like care gone comments treat humans must living conditions good new going near place dont feel safe many people etc etc large group singaporeans stand something long dont feel effects moment government comes something compromise hell breaks loose,-0.8072
419,actually advised not go weekends already put yet mom send people disperse not sure given mask previous mask distribution,-0.2411
420,taken today looks like building shelters also background see floating residences not sure purpose,0.1376
421,120 mostly bangla,0.0
422,true somemore 14 april reported less 13 april means curve flattening letwo days data say curve flattening should run moh,0.4215
423,banglas spread maids sinkies kanna,0.0
424,wong said unpredictable situation w n press conference apr 9 minister national development lawrence wong said known would later explode big clusters would done things differently unfortunately not luxury benefit hindsight press conference apr 9 minister national development lawrence wong said known would later explode big clusters would done things differently wong responding question asking anything could done avoid quarantine thousands becoming large clusters moving quickly known would done things differently no one tell next step wong said unpredictable situation spreads quickly pointed previously however never exploded big clusters time happened said wong also explained single lapse individual continues go work interact others easily end spreading many others emphasised need proper system screen separate sick healthy contain spread across wong said put resources muster walaneh thought keechiu said pap always think 2 steps ahead,-0.7565
425,idea round everyone deemed high risk e elderly previous health concerns etc invest protecting guys round clock care isolation let everyone else roam free bother testing anyone low risk healthy people herd immunity recovered allow not healthy people come everyone lock anyway no difference healthy people get businesses running support need huge surge seeing clearly healthy guys no symptoms would recover naturally anyway see long term plan place country right fire fighting even china ropes soon takes 1 weak link,0.6486
426,thought march high march seems like chicken feet,0.3612
427,cassandra crossing making old movie,0.0
428,possibility continues though people might say discriminatory,0.0
429,gave everyone 1 reusable mask need collect personally no longer given yet expect everyone use whenever step seriously should apologise whole country farking giving new rulings every day around sg 10 weeks escalated points poor management current pap government ccb not heard one single apology task force irresponsible,-0.5719
430,makes wonder would take give construction industry one big reset bring housing prices sane levels,0.0
431,happened 46yo suicide unnatural death,-0.8555
432,wah bangla go serve ns,0.0
433,sarki radarsent toilet bowl using,0.0
434,big true,0.4215
435,feel irresponsible catch spread community not medical personnel law enforcers unnecessary,-0.4404
436,circuit breker effect enforced many sme know trying justify hve something w essential service stay open end far sighta lot teekee people saw 5 people sitting table kopitiam none wearing mask kopitiam staff never order sit apart cos 5 people move elsewhere continue chit chat drink beer,0.0
437,info compared gky lawrence wong stated not decreasing testing actually actually test 8000 wondering sure number fell today still high previous two days not exactly seeing downward trend actually,0.3818
438,given profitable operators doubt choose close still much money made definitely try get away bare minimum meet requirements imagine constant cat mouse game authorities example decry cramming 20 people 1 room inhumane adhering guidelines laid mom cleared inspections really blame operators,0.204
439,nopost,0.0
440,agents gain actions not know much things,0.5267
441,lol construction industry buay tahan rushing back work somehow feeling spike soon cheers,0.7506
442,tldr got caught hands cookie jar global scale stop defecting subject oh well jo no one asked apology anyway,-0.5994
443,pity knn kenna exploited rike slaves nao kenna rounded rike animals lol,-0.34
444,tested negativeto send not send back home another headache house lots tax payer money used resume work,0.0
445,nothing flattening curve meant spread people get sick not eliminate timeline people getting infected actually stretch quarantine literally diagrams supposed work people still not getting concept explained ad nauseum point looking reason shame people poorer,-0.9022
446,people mad think,-0.4939
447,finally question fact consuming products services based think construct buildings maintain roads waters flowers ecp etc,0.0
448,imagine diamond princess,0.34
449,yes late gov reactive always three steps behind little latelim tean hero,0.7216
450,argument downplaying fact splicing living amongst us dataset,-0.3612
451,someone sitting around tired jackin graduated trolling,-0.4404
452,issue didn josephine teo say nobody demanded apology,-0.1779
453,mean understand clusters might happened look travel history patients case 1121 66 years old traveled argentina hungary chile us wtf,-0.5859
454,nsf babysit,0.0
455,remember triple digit increases lot,0.0
456,disingenuous separate local say hey local gone boys like not part sg community 1 case 1 case no matter brings greater risk community not 14 local today 942 new going similar transmission environment rest society disingenuous fold disingenuous fold diamond princess japan good seeing drop local transmission hopefully continues hopefully measures working bad seeing lot emerging definitely great deal infection risk hopefully mitigation factors e g transferring test negative start kicking soon might function fact focusing fire testing hopefully get care need,0.9201
457,much area cleaning done wayang,0.0
458,errrr healthcare frontline kena cb deep deep fool gold standard authorities,-0.4404
459,early todaysent lge lg h990 using,0.0
460,really need pandemic find things need improving,0.4215
461,right numbers ought coming already like 1 month since drinking holes cinemas etc closed no joke 1 month 25th mar means anything half fark doesn work confirm won go zero immediately look malaysia also lockdown longer stricter us still two digits figure flatten good already got vaccine zero not wear mask not socialise no entertainment next year vaccine,0.6776
462,bro welcome back,0.4588
463,following mini sters failed badly proven inept given uncontrollable situation today lee hsien loong played covid19 telling sg not serious no need mask one well clearly mis informing public situation brewing gan kim yong aka kan bo yong totally reactive not shown quality task force leader let alone declaring mission impossible not mention lapses moh watch lawrence wong admitted luxury foresight help rollout effective measures josephine teo failed flag condition hotbed corvid19 early feb20 exposing 200k viruschan chuan seng failed cater enough masks sg part total defense still think sg leaders good job controlling covid19 good giving reserve money hoping covid19 disappear like sars,0.7912
464,see data moh situation report click summary table roughly 50 50 linked vs unlinked,0.0
465,didn read post ben leong replying curious legal vs illegal point come didn see abstract,-0.2023
466,lol believe no source want pofma guigot source say wait better source,0.5859
467,one gripes sub opinions sub especially relating policy not represent opinion majority often opinion majority status quo won status quo govt representation society elect leaders public servants working policies part society believe change government policy starts bottom not top top takes cues population wants implement policies accordingly,0.3645
468,see well daily report also taking care highlight proportion related compared not look true community transmission kept quite constant numbers shooting expected likely continue long quarantined properly cared course big numbers not actually contributing community spread almost like battle two fronts,0.7937
469,see jo teo stand far behind see really scare poor cameraman,-0.7828
470,first,0.0
471,wrong sorry eat words didn know someone better rahman existed,-0.128
472,wah okok going cost think better safe sorry case stop sembawang canberra mrt take lor cost less minister say treat everyone infected stay safe man monkey psychic ability mess fark hardwarezone forums app,0.6412
473,photographic reproduction s11 conditions slaveshipposter_ 28cropped 29 jpg,0.0
474,still collecting rent,0.0
475,like seesaw one day next think depends many fws tested day,0.3612
476,saf temporarily housing 1 300 parts jurong camp ii bedok camp ii request ministry national development part measures fight spread covid19 circuit breaker period premises currently unused not required saf operational activities strict health safety measures staggered meal timings twice daily temperature checks safe distancing place ensure safety saf personnel well book loh,0.8625
477,pls dont lazy reading upit already proven elderly vulnerable susceptible due existing health conditions ft generally young fit physically,0.4606
478,enough enough open gyms singapore should carry life doesn look deadly infected recovered even without vaccine treat like another flu prolong living isolation equally stressful many become jobless looks like targeting zero infection not possible point time life go economy cannot standstill anymore also want look like zyzz not skinny fuck compare flu,-0.9504
479,should alrdy ask go back homes reduce human density also stop spending monies dem,-0.296
480,sauce,0.0
481,know better decide use masks early stages not know much yet going longdrawn war deadly enemy wont want expend ammo first day basic step novel management course benefit hindsight people find easy criticise should done past something like fighting enemy realise should used strategy start see skipped parts mask issue ish one thing ppl already knew felt real issue although recent fb saga revealed lot ish garment attitude focus started maintained seriousness issue tried real hard even not meet targets not suffer much flake,-0.3964
482,good wake call peasants,0.4404
483,exactly im no expert always felt lockdown without aggressive mass testing isolate many possible not optimal,-0.567
484,exactly sweden country seems remains seen government give panic circuit breaker supposed end sadly failing humanity swing one extreme another instead reasoning uncertainty back first started people already predicted going bad calling stronger measures experts everybody else ignored would get laughed wearing masks signs not deadly thought contact tracing social distancing seems sort good enough keep growth low no room consideration need shut everything vaccine found anyone says otherwise literally donald trump,-0.8689
485,thanks sensible input see many woke singaporeans asking humane housing conditions higher pay without thought calculation bigger picture,0.3612
486,test riao put whereput back testing got usethe purpose test weed infected least take circulation also good know percentage asymptomatic similar setting better fight living conditions take care solve issue first,0.6124
487,one road walk good lmao,0.7783
488,yes definitely operators ones fault not proper upkeep premises sadly know sg gonna keep status quo govt slaps warning cos even advocates sound building management nothing happens voice issue well issues relating direct towards govt like least 10 years ago companies employ small number used rent entire hdb unit often overcrowded well hdb set maximum occupancy unit no matter 3 4 room bigger 6 back around built managed employers usually large companies employ lot sembcorp keppel shipyard etc usually amenities facilities generally offer better living environment still cannot compare saf bunks la rise external operators came new ruling believe,0.6486
489,neh like treat us,0.6369
490,doubt deliberately hiding number wouldn see news intend since main stream means approach not well explained put possibility say another thread honest enough report still watching cna morning part mentioned yesterday cna report due new nomenclature possibly hundred clinically diagnosed left confirmed tally not mentioned time mentioned passing prof dale fisher interview said clinically diagnosed should included final tally sake honest transparency lag due reporting procedure something like kind understand part treat clinically diagnosed fws first test treatment confirm matter course,0.8265
491,ask would rather employers take cut salaries ones responsible setting wages gain maximum benefits expense not us,0.7351
492,even r singapore not immune kind attacks,-0.3089
493,impressed wp social media team really point far would need see psp sdp get points across super impressed social media planning lit elections announced first put candidates info means everything planned prepared shows good strategic planning long term thinking wouldn expect less see sm stuff impressed get full content shareable content not manifesto policy suggestions also human factor,0.9584
494,whatever measures implement late should implemented restrictions china beginning cny late 100 pap govt cumming erections last chance singaporeans send strong alternative numbers parliament 2015 failed showing world herd daft mentality voting remembrance old monkey worry number deaths miniscule recovery rate good singaporeans gets situation deserve,0.3182
495,wtf seriously,-0.6705
496,sony next electronic company not operating period sony confirm closed wise repair center,0.4767
497,hell 50 still hotels wah piang eh read 154th news 50 occupancy rate feb anyhow whack,-0.6808
498,refresh blame argument resolved,-0.4939
499,like people surprised governements lie crazy,0.25
